id,record_url,key,value
1,https://fieldbook.com/records/58f902172210660300904210,title,GreenMemes
2,https://fieldbook.com/records/58f9021a6e450303006e9110,lead,"Climate change is real, and evidence is all around you.<br> Prove it with Green Memes!"
3,https://fieldbook.com/records/58f90258a3d68803000164b4,start,Create a meme
4,https://fieldbook.com/records/58f902716e450303006e9116,choosefact,Pick 1 factual text statement on climate change that you think best relates with the image
5,https://fieldbook.com/records/58f902746e450303006e9117,chooseimage,Pick 1 factual image on climate change issues
6,https://fieldbook.com/records/58f90283a3d68803000164b5,choosesmiley,Pick an emoji reflecting your feelings about this piece of fact. This completes the green meme! (Having doubts about the image/text? let us know!)
7,https://fieldbook.com/records/58f9092e2210660300904352,share,"You can now share this Green Meme on explanatory Facebook/Instagram, and it links to a explanatory news product based on the text statement."
8,https://fieldbook.com/records/58f909706e450303006e9267,meme,Here's your meme!
