id,record_url,title,image
emotion 1,https://fieldbook.com/records/58f903a96e450303006e918a,happy,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/7ab135e4-c99c-454e-af65-3bb5920a2dc5/happy.jpg
emotion 2,https://fieldbook.com/records/58f903a92210660300904300,cry,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/3b54fe94-de77-448b-bf70-772270eb7dfa/cry.png
emotion 3,https://fieldbook.com/records/58f903aa2210660300904301,love,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/b42c8148-90a8-4356-8d31-0b0a03bd7641/love.jpg
